,Date,Low,High,Open,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2013-04-29 23:59:59.999,134.0,147.48800659179688,134.44400024414062,144.5399932861328,0.0,0.0,0.0,,,,,,18609420.67409448,1000.0,,0.0,,,,,,,155.4973398844401,128.52132670084634,,0.593811490091823,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,140.74400329589844,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-96.08602672214374,,0.0
1,2013-04-30 23:59:59.999,134.0500030517578,146.92999267578125,144.0,139.0,0.0,0.0,0.0,,,,-inf,,-0.0,1000.0,,0.0,,,,,,,154.1853307088216,127.8173344930013,,0.4240999359780443,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,140.74400329589844,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-3.8328445713746384,-3.90823062742518,-3.8328445713746384
2,2013-05-01 23:59:59.999,107.72000122070312,139.88999938964844,139.0,116.98999786376953,0.0,0.0,0.0,,,,-inf,,-0.0,1000.0,,0.0,,,,,,,154.0246641370985,114.99933454725476,,0.05100951964881893,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,127.60400390625,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-15.834533910957171,-17.23854903311226,-19.06046540892321
3,2013-05-02 23:59:59.999,92.28189849853516,125.5999984741211,116.37999725341797,105.20999908447266,0.0,0.0,0.0,,,,-inf,,-0.0,1000.0,,0.0,,,,,,,150.77234776814777,104.844300587972,,0.007962422070026629,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,119.88495254516602,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-10.069235827334778,-10.613009868127676,-27.21045802444595
4,2013-05-03 23:59:59.999,79.0999984741211,108.12799835205078,106.25,97.75,0.0,0.0,0.0,,,,-inf,,-0.0,1000.0,,0.0,,,,,,,145.42201131184896,97.06837361653645,,0.014096692947046466,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-7.090579934786478,-7.354514525281708,-32.37165868238756
5,2013-05-04 23:59:59.999,92.5,115.0,98.0999984741211,112.5,0.0,0.0,0.0,,,,inf,,0.0,1000.0,,0.0,,,,,,,142.71278720431857,94.91808912489148,,0.36786320620521995,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,15.089514066496168,14.054002277899968,-22.16687060632839
6,2013-05-05 23:59:59.999,107.14299774169922,118.80000305175781,112.9000015258789,115.91000366210938,0.0,0.0,0.0,,,,inf,,0.0,1000.0,,0.0,,,,,,,140.26924714587983,95.97179013206845,,0.4500983775168955,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,3.031114366319443,2.9860837850599786,-19.80765943952082
7,2013-05-06 23:59:59.999,106.63999938964844,124.66300201416016,115.9800033569336,112.30000305175781,0.0,0.0,0.0,,,,inf,,0.0,1000.0,,0.0,,,,,,,139.30525843302408,96.03923288981119,,0.37583230624467284,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-3.1144858047585933,-3.16401705756304,-22.30523850278061
8,2013-05-07 23:59:59.999,97.69999694824219,113.44400024414062,112.25,111.5,0.0,0.0,0.0,,,,-inf,,-0.0,1000.0,,0.0,,,,,,,137.52600775824652,95.56865098741318,,0.37970335213445805,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,113.29400253295898,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,,,,,,-0.7123802582526206,-0.7149298019270667,-22.858720645383258
9,2013-05-08 23:59:59.999,109.5999984741211,115.77999877929688,109.5999984741211,113.56600189208984,0.0,0.0,0.0,,,,inf,,0.0,1000.0,,19.49881057739258,,,,,,116.1907964070638,135.68960698445636,96.69198582967121,33.563433904145526,0.4326934711079968,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,113.01499557495117,,,113.29400253295898,3694.612986816178,3650.469402394897,,,,,,,,,,,,,,,113.56600189208984,,,,,1.8529164951478494,1.8359591475017645,-21.429357155653484
